,pt_BR,en
Maio • Dia da Família,Maio • Dia da Família,May • Family Day
Junho • festas juninas,Junho • festas juninas,June • festas juninas
"A barreira simboliza o cuidado preventivo, o exame e a vacina destacados pelo site.","A barreira simboliza o cuidado preventivo, o exame e a vacina destacados pelo site.","The barrier symbolizes the preventive care, screening, and vaccination highlighted on the site."
"Conexão, cuidado e responsabilidade compartilhada.","Conexão, cuidado e responsabilidade compartilhada.","Connection, care, and shared responsibility."
Agosto Lilás • proteção,Agosto Lilás • proteção,August Purple • protection
"Água como força, movimento e preservação.","Água como força, movimento e preservação.","Water as strength, movement, and preservation."
"O planeta responde em camadas: solo, raiz e cristal.","O planeta responde em camadas: solo, raiz e cristal.","The planet responds in layers: soil, root, and crystal."
LUA DA NEVE,LUA DA NEVE,SNOW MOON
A renovação e as cores da Páscoa viram uma escolha rápida em combate.,A renovação e as cores da Páscoa viram uma escolha rápida em combate.,Easter renewal and colors become a quick choice in combat.
Fevereiro Roxo • conscientização,Fevereiro Roxo • conscientização,February Roxo • awareness
Março • Lua do Verme,Março • Lua do Verme,March • Worm Moon
Junho Verde • meio ambiente,Junho Verde • meio ambiente,June Verde • environment
Junho Vermelho • doação de sangue,Junho Vermelho • doação de sangue,June Vermelho • blood donation
O Dia da Terra inspira um ataque que viaja sob o solo antes de reaparecer.,O Dia da Terra inspira um ataque que viaja sob o solo antes de reaparecer.,Earth Day inspires an attack that travels underground before resurfacing.
SET • PRIMAVERA,SET • PRIMAVERA,SEP • SPRING
Março • Dia Mundial da Água,Março • Dia Mundial da Água,March • World Water Day
Cone violeta; impactos seguidos desaceleram o alvo.,Cone violeta; impactos seguidos desaceleram o alvo.,A violet cone whose repeated hits slow the target.
DEZ • NATAL,DEZ • NATAL,DEC • CHRISTMAS
ABR • TERRA,ABR • TERRA,APR • TERRA
MAR • LUA DO VERME,MAR • LUA DO VERME,MAR • WORM MOON
AGO • PROTEÇÃO,AGO • PROTEÇÃO,AUG • PROTECTION
FEV • CARNAVAL,FEV • CARNAVAL,FEB • CARNAVAL
MAI • MAIO AMARELO,MAI • MAIO AMARELO,MAY • YELLOW MAY
"A primavera vira movimento, raiz e floração.","A primavera vira movimento, raiz e floração.","Spring becomes movement, roots, and blossoms."
Dezembro • Lua Fria,Dezembro • Lua Fria,December • Cold Moon
LUA DAS FLORES,LUA DAS FLORES,FLOWER MOON
SET • FLORES,SET • FLORES,SEP • FLOWERS
Brasas lentas explodem e deixam uma zona curta de fogo.,Brasas lentas explodem e deixam uma zona curta de fogo.,Slow embers explode and leave a short-lived fire zone.
"O site liga o Carnaval à cor, ao ritmo e à identidade cultural brasileira.","O site liga o Carnaval à cor, ao ritmo e à identidade cultural brasileira.","The site connects Carnival with color, rhythm, and Brazilian cultural identity."
Força e autonomia representadas por pressão seguida de resposta.,Força e autonomia representadas por pressão seguida de resposta.,Strength and autonomy represented by pressure followed by response.
ABR • PÁSCOA,ABR • PÁSCOA,APR • EASTER
Fantasmas e o imaginário do Halloween em movimento neon.,Fantasmas e o imaginário do Halloween em movimento neon.,Ghosts and Halloween imagery in neon motion.
JUN • FOGUEIRA,JUN • FOGUEIRA,JUN • BONFIRE
MAR • LILÁS,MAR • LILÁS,MAR • PURPLE
NOME,NOME,NAME
DESC,DESCRIÇÃO,DESCRIPTION
EQUIPE: +%d VIDA  •  +%d XP,EQUIPE: +%d VIDA  •  +%d XP,TEAM: +%d HEALTH  •  +%d XP
LB / RB troca abas • A confirma • analógico direito rola,LB / RB troca abas • A confirma • analógico direito rola,LB / RB changes tabs • A confirms • right stick scrolls
INSTALADA  •  v0.0.0,INSTALADA  •  v0.0.0,INSTALLED  •  v0.0.0
DISPONÍVEL  •  v0.0.0,DISPONÍVEL  •  v0.0.0,AVAILABLE  •  v0.0.0
[color=yellow]Astro,[color=yellow]Astro,[color=yellow]Astro
TROCA ABAS  •,TROCA ABAS  •,CHANGES TABS  •
COMPRA/EQUIPA  •  ANALÓGICO DIREITO ROLA,COMPRA/EQUIPA  •  ANALÓGICO DIREITO ROLA,BUYS/EQUIPS  •  RIGHT STICK SCROLLS
FLOR DO EQUINÓCIO,FLOR DO EQUINÓCIO,EQUINOX BLOOM
RUPTURA LILÁS,RUPTURA LILÁS,PURPLE RUPTURE
SENTINELA DOURADA,SENTINELA DOURADA,GOLDEN SENTINEL
AGOSTO LILÁS • ROMPER O CICLO,AGOSTO LILÁS • ROMPER O CICLO,PURPLE AUGUST • BREAK THE CYCLE
AGOSTO DOURADO • CUIDADO EM ÓRBITA,AGOSTO DOURADO • CUIDADO EM ÓRBITA,GOLDEN AUGUST • CARE IN ORBIT
AGOSTO LILÁS • DESATAR O CICLO,AGOSTO LILÁS • DESATAR O CICLO,PURPLE AUGUST • UNTIE THE CYCLE
AGOSTO DOURADO • REDE DE CUIDADO,AGOSTO DOURADO • REDE DE CUIDADO,GOLDEN AUGUST • CARE NETWORK
CRESCENTES LUNARES — ATRAVESSE AS ABERTURAS,CRESCENTES LUNARES — ATRAVESSE AS ABERTURAS,LUNAR CRESCENTS — MOVE THROUGH THE GAPS
CHUVA DE CRATERAS — SAIA DOS ALVOS MARCADOS,CHUVA DE CRATERAS — SAIA DOS ALVOS MARCADOS,CRATER RAIN — LEAVE THE MARKED TARGETS
ONDA LUNAR — ATRAVESSE A LACUNA VERDE,ONDA LUNAR — ATRAVESSE A LACUNA VERDE,LUNAR WAVE — MOVE THROUGH THE GREEN GAP
INVESTIDA SOLAR — SAIA DA LINHA VERMELHA,INVESTIDA SOLAR — SAIA DA LINHA VERMELHA,SOLAR CHARGE — LEAVE THE RED LINE
RAIO SOLAR — A MIRA TRAVA ANTES DO DISPARO,RAIO SOLAR — A MIRA TRAVA ANTES DO DISPARO,SOLAR BEAM — THE AIM LOCKS BEFORE FIRING
PROMINÊNCIAS — CHAMAS CURVAS EM ALTERNÂNCIA,PROMINÊNCIAS — CHAMAS CURVAS EM ALTERNÂNCIA,PROMINENCES — ALTERNATING CURVED FLAMES
CORONA — ATRAVESSE SOMENTE PELA LACUNA,CORONA — ATRAVESSE SOMENTE PELA LACUNA,CORONA — MOVE ONLY THROUGH THE GAP
MANCHAS SOLARES — DESTRUA-AS ANTES DA EXPLOSÃO,MANCHAS SOLARES — DESTRUA-AS ANTES DA EXPLOSÃO,SUNSPOTS — DESTROY THEM BEFORE THEY EXPLODE
CRESCENTES INCENDIÁRIOS — ELES RETORNAM,CRESCENTES INCENDIÁRIOS — ELES RETORNAM,BLAZING CRESCENTS — THEY RETURN
RAIO DA TOTALIDADE — A MIRA TRAVA ANTES DO DISPARO,RAIO DA TOTALIDADE — A MIRA TRAVA ANTES DO DISPARO,TOTALITY BEAM — THE AIM LOCKS BEFORE FIRING
CHUVA DA TOTALIDADE — FUJA DAS MIRAS,CHUVA DA TOTALIDADE — FUJA DAS MIRAS,TOTALITY RAIN — ESCAPE THE TARGETS
REFLEXOS ASTRAIS — ATAQUE VINDO DOS DOIS LADOS,REFLEXOS ASTRAIS — ATAQUE VINDO DOS DOIS LADOS,ASTRAL REFLECTIONS — ATTACKS FROM BOTH SIDES
TOTALIDADE — SOBREVIVA E LEIA OS MARCADORES,TOTALIDADE — SOBREVIVA E LEIA OS MARCADORES,TOTALITY — SURVIVE AND READ THE MARKERS
MARÉ GRAVITACIONAL — PUXÃO PARA O CENTRO,MARÉ GRAVITACIONAL — PUXÃO PARA O CENTRO,GRAVITATIONAL TIDE — PULL TOWARD THE CENTER
MARÉ GRAVITACIONAL — REPULSÃO PARA FORA,MARÉ GRAVITACIONAL — REPULSÃO PARA FORA,GRAVITATIONAL TIDE — PUSH OUTWARD
SINGULARIDADE SOLAR — O CAMPO PUXA E O RAIO TRAVA,SINGULARIDADE SOLAR — O CAMPO PUXA E O RAIO TRAVA,SOLAR SINGULARITY — THE FIELD PULLS AND THE BEAM LOCKS
PET-0,PET-0,PET-0
